Name,Ip,Location
MAIN GATE,192.168.3.17, AO 1St Floor
RECEPTION,192.168.3.18, AO 1St Floor
BESIDE RECEPTION,192.168.3.25, AO 1St Floor
CABIN AREA,192.168.3.19, AO 1St Floor
ACCOUNT AREA-1,192.168.3.20, AO 1St Floor
ACCOUNT AREA-2,192.168.3.21, AO 1St Floor
HR AREA-1,192.168.3.22, AO 1St Floor
HR AREA-2,192.168.3.23, AO 1St Floor
PANTRY,192.168.3.24, AO 1St Floor
CAMERA1(sumerbhai cabin area),192.168.3.29, AO 1St Floor
GATE,192.168.3.31, AO 2ND Floor
WORKSTATION-1,192.168.3.32, AO 2ND Floor
WORKSTATION-2,192.168.3.33, AO 2ND Floor
SERVER ROOM,192.168.3.34, AO 2ND Floor
WORKSTATION-3,192.168.3.35, AO 2ND Floor
WORKSTATION-4,192.168.3.26, AO 2ND Floor
CONF.SIDE,192.168.3.36, AO 2ND Floor
KITCHEN,192.168.3.27, AO 2ND Floor
WORKSTATION-5,192.168.3.37, AO 2ND Floor
WORKSTATION-6,192.168.3.28, AO 2ND Floor
RECEPTION,192.168.3.38, AO 2ND Floor
PASSAGE-01,192.168.5.37,Moraiya Hikvision
BEHIND EXTRUDER,192.168.5.30,Moraiya Hikvision
SILO FEEDING AREA,192.168.5.28,Moraiya Hikvision
TRAINING ROOM,192.168.5.26,Moraiya Hikvision
OFFICE CANTEEN,192.168.5.36,Moraiya Hikvision
PANTRY,192.168.5.35,Moraiya Hikvision
DOCK-2,192.168.5.27,Moraiya Hikvision
FINISH GOOD AREA,192.168.5.31,Moraiya Hikvision
WORKSTATION-2,192.168.5.39,Moraiya Hikvision
RECEPTION,192.168.5.40,Moraiya Hikvision
PASSAGE-02,192.168.5.41,Moraiya Hikvision
PASSAGE-03,192.168.5.34,Moraiya Hikvision
MAIN GATE,192.168.5.32,Moraiya Hikvision
WORKSTATION-1,192.168.5.38,Moraiya Hikvision
ELECTRICAL,192.168.5.44,Moraiya Hikvision
UTILITY,192.168.5.43,Moraiya Hikvision
NEW PLANT SIDE PASSAGE-1,192.168.5.45,Moraiya Hikvision
HT YARD,192.168.5.33,Moraiya Hikvision
NEW PLANT SIDE PASSAGE-2,192.168.5.42,Moraiya Hikvision
NEW ADMIN BACKSIDE,192.168.5.46,Moraiya Hikvision
MONO PLANT-1,192.168.5.47,Moraiya Hikvision
MONO PLANT BACKSIDE,192.168.5.48,Moraiya Hikvision
MONO PLANT ENTRENCE,192.168.5.49,Moraiya Hikvision
MONO PLANT-2,192.168.5.82,Moraiya Hikvision
MONO PLANT BACKGATE,192.168.5.81,Moraiya Hikvision
MONO BEAMER HEAD,192.168.5.84,Moraiya Hikvision
LOOMS PASSAGE,192.168.5.83,Moraiya Hikvision
SERVER ROOM,192.168.5.25,Moraiya Hikvision
OFFICE MAIN GATE,192.168.5.23,Moraiya Hikvision
SHIPPING,192.168.5.85,Moraiya Hikvision
CANTEEN IN PASSAGE,192.168.5.203,Moraiya CP Plus
LOOMS 3,192.168.1.65,Moraiya CP Plus
