name,ip,location,critical
Lobby 1,192.168.3.17,AO 7th Floor,YES
Workstation,192.168.3.18,AO 7th Floor,YES
HR Table,192.168.3.25,AO 7th Floor,YES
Kitchen,192.168.3.19,AO 7th Floor,YES
Lobby 2,192.168.3.20,AO 7th Floor,YES
Workstation 2,192.168.3.21,AO 7th Floor,YES
HR Area 2,192.168.3.22,AO 7th Floor,YES
Pantry,192.168.3.23,AO 7th Floor,YES
Lobby 3,192.168.3.24,AO 7th Floor,YES
Reception,192.168.3.33,AO 7th Floor,YES
Store Room,192.168.3.40,AO 7th Floor,YES
Main Entry,192.168.3.39,AO 7th Floor,YES
Gate Inside,192.168.3.29,AO 7th Floor,YES
Gate,192.168.3.31,AO 2nd Floor,YES
Workstation-1,192.168.3.32,AO 2nd Floor,YES
Server room,192.168.3.34,AO 2nd Floor,YES
Work station 3,192.168.3.35,AO 2nd Floor,YES
Workstation-4,192.168.3.26,AO 2nd Floor,YES
Conf. Side,192.168.3.36,AO 2nd Floor,YES
Kitchen,192.168.3.27,AO 2nd Floor,YES
Workstation-5,192.168.3.37,AO 2nd Floor,YES
Workstation-6,192.168.3.28,AO 2nd Floor,YES
Reception,192.168.3.38,AO 2nd Floor,YES
PASSAGE -01,192.168.5.37,Moraiya,YES
Behind extruder,192.168.5.30,Moraiya,YES
Silo feeding Area,192.168.5.28,Moraiya,YES
TRAINING ROOM,192.168.5.26,Moraiya,YES
OFFICE CANTEEN,192.168.5.36,Moraiya,YES
PANTRY,192.168.5.35,Moraiya,YES
Dock-2,192.168.5.27,Moraiya,YES
finish good area,192.168.5.31,Moraiya,YES
WORK STATION - 02,192.168.5.39,Moraiya,YES
RECEPTION,192.168.5.40,Moraiya,YES
PASSAGE - 02,192.168.5.41,Moraiya,YES
PASSAGE-03,192.168.5.34,Moraiya,YES
Main Gate,192.168.5.32,Moraiya,YES
WORK STATION 01,192.168.5.38,Moraiya,YES
Electrical,192.168.5.44,Moraiya,YES
Utility,192.168.5.43,Moraiya,YES
New plant side passage-1,192.168.5.45,Moraiya,YES
HT Yard,192.168.5.33,Moraiya,YES
New plant side passage-2,192.168.5.42,Moraiya,YES
New admin backside,192.168.5.46,Moraiya,YES
Mono plant-1,192.168.5.47,Moraiya,YES
Mono plant backside,192.168.5.48,Moraiya,YES
Mono plant entrance,192.168.5.49,Moraiya,YES
Mono plant 2,192.168.5.82,Moraiya,YES
